idade_gestacional,valor,percentil
12,44,2.5
13,42,2.5
14,48,2.5
15,61,2.5
16,80,2.5
17,105,2.5
18,134,2.5
19,168,2.5
20,204,2.5
21,243,2.5
22,283,2.5
23,325,2.5
24,366,2.5
25,406,2.5
26,445,2.5
27,482,2.5
28,515,2.5
29,545,2.5
30,569,2.5
31,589,2.5
32,602,2.5
12,58,50
13,69,50
14,88,50
15,115,50
16,148,50
17,186,50
18,229,50
19,275,50
20,325,50
21,378,50
22,432,50
23,486,50
24,541,50
25,595,50
26,647,50
27,697,50
28,744,50
29,787,50
30,825,50
31,858,50
32,885,50
12,71,97.5
13,96,97.5
14,129,97.5
15,169,97.5
16,215,97.5
17,267,97.5
18,323,97.5
19,383,97.5
20,447,97.5
21,512,97.5
22,580,97.5
23,648,97.5
24,716,97.5
25,783,97.5
26,849,97.5
27,913,97.5
28,973,97.5
29,1029,97.5
30,1081,97.5
31,1127,97.5
32,1167,97.5
