idade_gestacional,valor,percentil
12,20,2.5
13,26,2.5
14,36,2.5
15,49,2.5
16,65,2.5
17,83,2.5
18,103,2.5
19,125,2.5
20,148,2.5
21,172,2.5
22,196,2.5
23,220,2.5
24,244,2.5
25,268,2.5
26,290,2.5
27,310,2.5
28,328,2.5
29,344,2.5
30,358,2.5
31,368,2.5
32,374,2.5
12,36,50
13,47,50
14,62,50
15,82,50
16,104,50
17,130,50
18,158,50
19,188,50
20,220,50
21,254,50
22,288,50
23,323,50
24,358,50
25,392,50
26,426,50
27,459,50
28,491,50
29,521,50
30,548,50
31,573,50
32,594,50
12,51,97.5
13,68,97.5
14,89,97.5
15,114,97.5
16,144,97.5
17,177,97.5
18,213,97.5
19,252,97.5
20,293,97.5
21,335,97.5
22,380,97.5
23,425,97.5
24,471,97.5
25,517,97.5
26,563,97.5
27,609,97.5
28,653,97.5
29,697,97.5
30,738,97.5
31,777,97.5
32,814,97.5
