idade_gestacional,valor,percentil
12,2.4,5
13,3.8,5
14,5.1,5
15,6.4,5
16,7.7,5
17,9.0,5
18,10.3,5
19,11.5,5
20,12.8,5
21,14.0,5
22,15.2,5
23,16.3,5
24,17.5,5
25,18.6,5
26,19.7,5
27,20.8,5
28,21.8,5
29,22.9,5
30,23.9,5
31,24.9,5
32,25.9,5
33,26.9,5
34,27.8,5
35,28.7,5
36,29.6,5
37,30.5,5
38,31.4,5
39,32.2,5
40,33.1,5
12,2.9,10
13,4.3,10
14,5.6,10
15,6.9,10
16,8.2,10
17,9.5,10
18,10.8,10
19,12.0,10
20,13.3,10
21,14.5,10
22,15.7,10
23,16.8,10
24,18.0,10
25,19.1,10
26,20.2,10
27,21.3,10
28,22.3,10
29,23.4,10
30,24.4,10
31,25.4,10
32,26.4,10
33,27.4,10
34,28.3,10
35,29.2,10
36,30.1,10
37,31.0,10
38,31.9,10
39,32.7,10
40,33.6,10
12,4.6,50
13,6.0,50
14,7.3,50
15,8.6,50
16,9.9,50
17,11.2,50
18,12.5,50
19,13.7,50
20,15.0,50
21,16.2,50
22,17.4,50
23,18.5,50
24,19.7,50
25,20.8,50
26,21.9,50
27,23.0,50
28,24.0,50
29,25.1,50
30,26.1,50
31,27.1,50
32,28.1,50
33,29.1,50
34,30.0,50
35,30.9,50
36,31.8,50
37,32.7,50
38,33.6,50
39,34.4,50
40,35.3,50
12,6.3,90
13,7.7,90
14,9.0,90
15,10.3,90
16,11.6,90
17,12.9,90
18,14.2,90
19,15.4,90
20,16.7,90
21,17.9,90
22,19.1,90
23,20.2,90
24,21.4,90
25,22.5,90
26,23.6,90
27,24.7,90
28,25.7,90
29,26.8,90
30,27.8,90
31,28.8,90
32,29.8,90
33,30.8,90
34,31.7,90
35,32.6,90
36,33.5,90
37,34.4,90
38,35.3,90
39,36.1,90
40,37.0,90
12,6.8,95
13,8.2,95
14,9.5,95
15,10.8,95
16,12.1,95
17,13.4,95
18,14.7,95
19,15.9,95
20,17.2,95
21,18.4,95
22,19.6,95
23,20.7,95
24,21.9,95
25,23.0,95
26,24.1,95
27,25.2,95
28,26.2,95
29,27.3,95
30,28.3,95
31,29.3,95
32,30.3,95
33,31.3,95
34,32.2,95
35,33.1,95
36,34.0,95
37,34.9,95
38,35.8,95
39,36.6,95
40,37.5,95
