idade_gestacional,valor,percentil
14,-,5
15,-,5
16,-,5
17,-,5
18,-,5
19,4.2,5
20,4.2,5
21,6.8,5
22,6.8,5
23,7.2,5
24,7.2,5
25,8.4,5
26,8.4,5
27,9.3,5
28,9.3,5
29,9.9,5
30,9.9,5
31,10.9,5
32,10.9,5
33,12.0,5
34,12.0,5
35,-,5
36,-,5
37,-,5
38,-,5
39,-,5
14,-,50
15,-,50
16,-,50
17,-,50
18,-,50
19,6.8,50
20,6.8,50
21,7.5,50
22,7.5,50
23,8.2,50
24,8.2,50
25,9.6,50
26,9.6,50
27,10.3,50
28,10.3,50
29,11.4,50
30,11.4,50
31,12.3,50
32,12.3,50
33,12.8,50
34,12.8,50
35,-,50
36,-,50
37,-,50
38,-,50
39,-,50
14,-,95
15,-,95
16,-,95
17,-,95
18,-,95
19,7.5,95
20,7.5,95
21,8.3,95
22,8.3,95
23,9.1,95
24,9.1,95
25,11.0,95
26,11.0,95
27,11.5,95
28,11.5,95
29,12.0,95
30,12.0,95
31,14.0,95
32,14.0,95
33,15.7,95
34,15.7,95
35,-,95
36,-,95
37,-,95
38,-,95
39,-,95
