idade_gestacional,valor,percentil
18,1.6,2.5
19,1.5,2.5
20,1.8,2.5
21,2.1,2.5
22,2.0,2.5
23,2.2,2.5
24,1.9,2.5
25,2.5,2.5
26,2.4,2.5
27,2.7,2.5
28,2.6,2.5
29,2.3,2.5
30,2.9,2.5
31,2.8,2.5
32,3.1,2.5
33,3.3,2.5
34,3.3,2.5
35,3.2,2.5
36,3.3,2.5
37,3.3,2.5
38,3.2,2.5
39,3.5,2.5
40,3.2,2.5
41,3.9,2.5
18,2.2,50
19,2.3,50
20,2.6,50
21,2.7,50
22,2.7,50
23,3.0,50
24,3.1,50
25,3.3,50
26,3.4,50
27,3.5,50
28,3.4,50
29,3.6,50
30,3.8,50
31,3.7,50
32,4.1,50
33,4.0,50
34,4.2,50
35,4.2,50
36,4.2,50
37,4.2,50
38,4.4,50
39,4.2,50
40,4.3,50
41,4.5,50
18,2.8,97.5
19,3.1,97.5
20,3.4,97.5
21,3.2,97.5
22,3.4,97.5
23,3.7,97.5
24,4.4,97.5
25,4.2,97.5
26,4.4,97.5
27,4.4,97.5
28,4.2,97.5
29,4.8,97.5
30,4.6,97.5
31,4.6,97.5
32,5.1,97.5
33,4.7,97.5
34,5.0,97.5
35,5.2,97.5
36,5.0,97.5
37,5.1,97.5
38,5.6,97.5
39,4.8,97.5
40,5.3,97.5
41,5.1,97.5
