idade_gestacional,valor,percentil
14,16.5 ,2.5
15,16.8 ,2.5
16,17.3 ,2.5
17,17.8 ,2.5
18,18.3 ,2.5
19,18.5 ,2.5
20,18.8 ,2.5
21,19.0 ,2.5
22,19.1 ,2.5
23,19.2 ,2.5
24,19.2,2.5
25,19.3 ,2.5
26,19.3 ,2.5
27,19.4 ,2.5
28,19.4 ,2.5
29,19.4 ,2.5
30,19.5 ,2.5
31,19.5 ,2.5
32,19.6 ,2.5
33,19.6 ,2.5
34,19.7 ,2.5
35,19.7 ,2.5
36,19.7 ,2.5
37,19.8 ,2.5
38,19.8 ,2.5
39,19.8 ,2.5
40,19.9 ,2.5
14,19.0 ,50
15,19.3 ,50
16,19.8 ,50
17,20.3 ,50
18,20.8 ,50
19,21.0 ,50
20,21.3 ,50
21,21.5 ,50
22,21.6 ,50
23,24.2,50
24,21.7 ,50
25,21.8 ,50
26,21.8 ,50
27,21.9 ,50
28,21.9 ,50
29,21.9 ,50
30,22.0 ,50
31,22.0 ,50
32,22.1 ,50
33,22.1 ,50
34,22.2 ,50
35,22.2 ,50
36,22.2 ,50
37,22.3 ,50
38,22.3 ,50
39,22.3 ,50
40,22.4 ,50
14,21.5,97.5
15,21.8,97.5
16,22.3,97.5
17,22.8,97.5
18,23.3,97.5
19,23.5,97.5
20,23.8,97.5
21,24.0,97.5
22,24.1,97.5
23,24.2,97.5
24,24.2,97.5
25,24.3,97.5
26,24.3,97.5
27,24.4,97.5
28,24.4,97.5
29,24.4,97.5
30,24.5,97.5
31,24.5,97.5
32,24.6,97.5
33,24.6,97.5
34,24.7,97.5
35,24.7,97.5
36,24.7,97.5
37,24.8,97.5
38,24.8,97.5
39,24.8,97.5
40,24.9,97.5
