idade_gestacional,valor,percentil
14,13.0 ,2.5
15,13.7 ,2.5
16,14.4 ,2.5
17,14.9 ,2.5
18,15.5 ,2.5
19,16.1 ,2.5
20,16.4 ,2.5
21,16.6 ,2.5
22,16.4 ,2.5
23,16.6 ,2.5
24,16.8 ,2.5
25,17.0 ,2.5
26,17.2 ,2.5
27,17.4 ,2.5
28,17.6 ,2.5
29,17.8 ,2.5
30,18.1 ,2.5
31,18.3 ,2.5
32,18.5 ,2.5
33,18.7 ,2.5
34,18.9 ,2.5
35,19.2 ,2.5
36,19.4 ,2.5
37,19.6 ,2.5
38,19.8 ,2.5
39,20.0 ,2.5
40,20.2 ,2.5
14,15.0 ,50
15,15.7 ,50
16,16.4 ,50
17,16.9 ,50
18,17.5 ,50
19,18.1 ,50
20,18.4 ,50
21,18.6 ,50
22,18.6 ,50
23,18.8 ,50
24,19.0 ,50
25,19.2 ,50
26,19.4 ,50
27,19.6 ,50
28,19.8 ,50
29,20.0 ,50
30,20.3 ,50
31,20.5 ,50
32,20.7 ,50
33,20.9 ,50
34,21.1 ,50
35,21.4 ,50
36,21.6 ,50
37,21.8 ,50
38,22.0 ,50
39,22.2 ,50
40,22.4 ,50
14,17.0,97.5
15,17.7,97.5
16,18.4,97.5
17,18.9,97.5
18,19.5,97.5
19,20.1,97.5
20,20.4,97.5
21,20.6,97.5
22,20.8,97.5
23,21.0,97.5
24,21.2,97.5
25,21.4,97.5
26,21.6,97.5
27,21.8,97.5
28,22.0,97.5
29,22.2,97.5
30,22.5,97.5
31,22.7,97.5
32,22.9,97.5
33,23.1,97.5
34,23.3,97.5
35,23.6,97.5
36,23.8,97.5
37,24.0,97.5
38,24.2,97.5
39,24.4,97.5
40,24.6,97.5
