idade_gestacional,valor,percentil
14,50.2 ,2.5
15,51.2,2.5
16,53.2 ,2.5
17,55.2 ,2.5
18,57.2 ,2.5
19,59.2 ,2.5
20,61.2 ,2.5
21,62.2 ,2.5
22,67.6 ,2.5
23,67.8 ,2.5
24,68.0 ,2.5
25,68.2 ,2.5
26,68.4 ,2.5
27,68.6 ,2.5
28,68.8 ,2.5
29,69.0 ,2.5
30,69.2 ,2.5
31,69.4 ,2.5
32,69.6 ,2.5
33,69.8 ,2.5
34,70.0 ,2.5
35,70.2 ,2.5
36,70.4 ,2.5
37,70.6 ,2.5
38,70.8 ,2.5
39,71.0 ,2.5
40,71.2 ,2.5
14,58,50
15,59,50
16,61,50
17,63,50
18,65,50
19,67,50
20,69,50
21,70,50
22,77.4 ,50
23,77.6 ,50
24,77.8 ,50
25,78,50
26,78.2 ,50
27,78.4 ,50
28,78.6 ,50
29,78.8 ,50
30,79,50
31,79.2 ,50
32,79.4 ,50
33,79.6 ,50
34,79.8 ,50
35,80,50
36,80.2 ,50
37,80.4 ,50
38,80.6 ,50
39,80.8 ,50
40,81,50
14,65.8,97.5
15,66.8,97.5
16,68.8,97.5
17,70.8,97.5
18,72.8,97.5
19,74.8,97.5
20,76.8,97.5
21,77.8,97.5
22,87.2,97.5
23,87.4,97.5
24,87.6,97.5
25,87.8,97.5
26,88.0,97.5
27,88.2,97.5
28,88.4,97.5
29,88.6,97.5
30,88.8,97.5
31,89.0,97.5
32,89.2,97.5
33,89.4,97.5
34,89.6,97.5
35,89.8,97.5
36,90.0,97.5
37,90.2,97.5
38,90.4,97.5
39,90.6,97.5
40,90.8,97.5
