idade_gestacional,valor,percentil
16,73,3
17,77,3
18,80,3
19,83,3
20,86,3
21,88,3
22,89,3
23,90,3
24,90,3
25,89,3
26,89,3
27,85,3
28,86,3
29,84,3
30,82,3
31,79,3
32,77,3
33,74,3
34,72,3
35,70,3
36,68,3
37,66,3
38,65,3
39,64,3
40,63,3
41,63,3
42,63,3
16,79,5
17,83,5
18,87,5
19,90,5
20,93,5
21,95,5
22,97,5
23,98,5
24,98,5
25,97,5
26,97,5
27,95,5
28,94,5
29,92,5
30,90,5
31,88,5
32,86,5
33,83,5
34,81,5
35,79,5
36,77,5
37,75,5
38,73,5
39,72,5
40,71,5
41,70,5
42,69,5
16,121,50
17,127,50
18,133,50
19,137,50
20,141,50
21,143,50
22,145,50
23,146,50
24,147,50
25,147,50
26,147,50
27,146,50
28,146,50
29,145,50
30,145,50
31,144,50
32,144,50
33,143,50
34,142,50
35,140,50
36,138,50
37,135,50
38,132,50
39,127,50
40,123,50
41,116,50
42,110,50
16,185,95
17,194,95
18,202,95
19,207,95
20,212,95
21,214,95
22,216,95
23,218,95
24,219,95
25,221,95
26,223,95
27,226,95
28,228,95
29,231,95
30,234,95
31,238,95
32,242,95
33,245,95
34,248,95
35,249,95
36,249,95
37,244,95
38,239,95
39,226,95
40,214,95
41,194,95
42,175,95
16,201,97
17,211,97
18,220,97
19,225,97
20,230,97
21,233,97
22,235,97
23,237,97
24,238,97
25,240,97
26,242,97
27,245,97
28,249,97
29,254,97
30,258,97
31,263,97
32,269,97
33,274,97
34,278,97
35,279,97
36,279,97
37,275,97
38,269,97
39,255,97
40,240,97
41,216,97
42,192,97
