idade_gestacional,valor,percentil
12,0.21,2.5
13,0.31,2.5
14,0.40,2.5
15,0.49,2.5
16,0.57,2.5
17,0.65,2.5
18,0.73,2.5
19,0.80,2.5
20,0.86,2.5
21,0.92,2.5
22,0.98,2.5
23,1.03,2.5
24,1.08,2.5
25,1.12,2.5
26,1.16,2.5
27,1.19,2.5
28,1.22,2.5
29,1.25,2.5
30,1.27,2.5
31,1.28,2.5
32,1.29,2.5
12,0.38 ,50
13,0.50 ,50
14,0.62 ,50
15,0.74 ,50
16,0.85 ,50
17,0.95 ,50
18,1.06 ,50
19,1.15 ,50
20,1.25 ,50
21,1.33 ,50
22,1.42 ,50
23,1.50 ,50
24,1.57 ,50
25,1.64 ,50
26,1.71 ,50
27,1.77 ,50
28,1.82 ,50
29,1.87 ,50
30,1.92 ,50
31,1.96 ,50
32,2.00 ,50
12,0.54,97.5
13,0.69,97.5
14,0.84,97.5
15,0.98,97.5
16,1.12,97.5
17,1.26,97.5
18,1.38,97.5
19,1.51,97.5
20,1.63,97.5
21,1.74,97.5
22,1.86,97.5
23,1.96,97.5
24,2.06,97.5
25,2.16,97.5
26,2.25,97.5
27,2.34,97.5
28,2.42,97.5
29,2.50,97.5
30,2.58,97.5
31,2.65,97.5
32,2.71,97.5
