idade_gestacional,valor,percentil
12,-,5
13,-,5
14,-,5
15,-,5
16,6.4,5
17,7.3,5
18,8.2,5
19,9.1,5
20,10.0,5
21,11.0,5
22,11.9,5
23,12.8,5
24,13.7,5
25,14.6,5
26,15.5,5
27,16.4,5
28,17.3,5
29,18.2,5
30,19.1,5
31,20.0,5
32,20.9,5
33,21.8,5
34,22.8,5
35,23.7,5
36,24.6,5
37,25.5,5
38,26.4,5
39,27.3,5
40,28.2,5
12,-,10
13,-,10
14,-,10
15,-,10
16,7.0,10
17,7.9,10
18,8.8,10
19,9.7,10
20,10.6,10
21,11.6,10
22,12.5,10
23,13.4,10
24,14.3,10
25,15.2,10
26,16.1,10
27,17.0,10
28,17.9,10
29,18.8,10
30,19.7,10
31,20.6,10
32,21.5,10
33,22.5,10
34,23.4,10
35,24.3,10
36,25.2,10
37,26.1,10
38,27.0,10
39,27.9,10
40,28.8,10
12,-,50
13,-,50
14,-,50
15,-,50
16,9.1,50
17,10.0,50
18,11.0,50
19,11.9,50
20,12.8,50
21,13.7,50
22,14.6,50
23,15.5,50
24,16.4,50
25,17.3,50
26,18.2,50
27,19.1,50
28,20.0,50
29,21.0,50
30,21.9,50
31,22.8,50
32,23.7,50
33,24.6,50
34,25.5,50
35,26.4,50
36,27.3,50
37,28.2,50
38,29.1,50
39,30.0,50
40,30.9,50
12,-,90
13,-,90
14,-,90
15,-,90
16,11.3,90
17,12.2,90
18,13.1,90
19,14.0,90
20,15.0,90
21,15.8,90
22,16.7,90
23,17.6,90
24,18.5,90
25,19.4,90
26,20.3,90
27,21.3,90
28,22.2,90
29,23.1,90
30,24.0,90
31,24.9,90
32,25.8,90
33,26.7,90
34,27.6,90
35,28.5,90
36,29.4,90
37,30.3,90
38,31.2,90
39,32.2,90
40,33.1,90
12,-,95
13,-,95
14,-,95
15,-,95
16,11.9,95
17,12.8,95
18,13.7,95
19,14.6,95
20,15.5,95
21,16.4,95
22,17.3,95
23,18.2,95
24,19.1,95
25,20.0,95
26,21.0,95
27,21.9,95
28,22.8,95
29,23.7,95
30,24.6,95
31,25.5,95
32,26.4,95
33,27.3,95
34,28.2,95
35,29.1,95
36,30.0,95
37,30.9,95
38,31.9,95
39,32.8,95
40,33.7,95
