idade_gestacional,valor,percentil
15,1.1,5
16,1.2,5
17,1.3,5
18,1.4,5
19,1.5,5
20,1.6,5
21,1.7,5
22,1.8,5
23,1.9,5
24,2,5
25,2.1,5
26,2.2,5
27,2.3,5
28,2.4,5
29,2.5,5
30,2.6,5
31,2.7,5
32,2.8,5
33,2.9,5
34,3,5
35,3.1,5
36,3.2,5
37,3.3,5
38,3.4,5
39,3.5,5
40,3.6,5
15,1.6,50
16,1.7,50
17,1.8,50
18,1.9,50
19,2,50
20,2.1,50
21,2.2,50
22,2.3,50
23,2.4,50
24,2.5,50
25,2.6,50
26,2.7,50
27,2.8,50
28,2.9,50
29,3,50
30,3.1,50
31,3.2,50
32,3.3,50
33,3.4,50
34,3.5,50
35,3.6,50
36,3.7,50
37,3.8,50
38,3.9,50
39,4,50
40,4.1,50
15,2.1,95
16,2.2,95
17,2.3,95
18,2.4,95
19,2.5,95
20,2.6,95
21,2.7,95
22,2.8,95
23,2.9,95
24,3,95
25,3.1,95
26,3.2,95
27,3.3,95
28,3.4,95
29,3.5,95
30,3.6,95
31,3.7,95
32,3.8,95
33,3.9,95
34,4,95
35,4.1,95
36,4.2,95
37,4.3,95
38,4.4,95
39,4.5,95
40,4.6,95
