idade_gestacional,valor,percentil
14,12,5
15,13,5
16,14,5
17,15,5
18,16,5
19,17,5
20,19,5
21,20,5
22,21,5
23,22,5
24,24,5
25,25,5
26,26,5
27,27,5
28,29,5
29,30,5
30,31,5
31,32,5
32,34,5
33,35,5
34,36,5
35,37,5
36,38,5
37,39,5
38,40,5
39,41,5
14,14,50
15,15,50
16,16,50
17,17,50
18,18,50
19,20,50
20,21,50
21,22,50
22,24,50
23,25,50
24,26,50
25,28,50
26,29,50
27,31,50
28,32,50
29,33,50
30,35,50
31,36,50
32,37,50
33,39,50
34,40,50
35,41,50
36,42,50
37,43,50
38,44,50
39,45,50
14,15,95
15,17,95
16,18,95
17,19,95
18,21,95
19,22,95
20,24,95
21,25,95
22,27,95
23,28,95
24,30,95
25,31,95
26,33,95
27,34,95
28,36,95
29,37,95
30,39,95
31,40,95
32,42,95
33,43,95
34,44,95
35,46,95
36,47,95
37,48,95
38,49,95
39,51,95
