idade_gestacional,valor,percentil
10,26,3
11,34,3
12,43,3
13,55,3
14,70,3
15,88,3
16,110,3
17,136,3
18,167,3
19,205,3
20,248,3
21,299,3
22,359,3
23,426,3
24,503,3
25,589,3
26,685,3
27,791,3
28,908,3
29,1034,3
30,1169,3
31,1313,3
32,1465,3
33,1622,3
34,1783,3
35,1946,3
36,2110,3
37,2271,3
38,2427,3
39,2576,3
40,2714,3
10,29,10
11,37,10
12,48,10
13,61,10
14,77,10
15,97,10
16,121,10
17,150,10
18,185,10
19,227,10
20,275,10
21,331,10
22,398,10
23,471,10
24,556,10
25,652,10
26,758,10
27,879,10
28,1004,10
29,1145,10
30,1294,10
31,1453,10
32,1621,10
33,1794,10
34,1973,10
35,2154,10
36,2335,10
37,2513,10
38,2686,10
39,2851,10
40,3004,10
10,35,50
11,45,50
12,58,50
13,73,50
14,93,50
15,117,50
16,146,50
17,181,50
18,223,50
19,273,50
20,331,50
21,399,50
22,478,50
23,568,50
24,670,50
25,785,50
26,913,50
27,1055,50
28,1210,50
29,1379,50
30,1559,50
31,1751,50
32,1953,50
33,2162,50
34,2377,50
35,2595,50
36,2813,50
37,3028,50
38,3236,50
39,3435,50
40,3619,50
10,41,90
11,53,90
12,68,90
13,85,90
14,109,90
15,137,90
16,171,90
17,212,90
18,261,90
19,319,90
20,387,90
21,467,90
22,559,90
23,665,90
24,784,90
25,918,90
26,1068,90
27,1234,90
28,1416,90
29,1613,90
30,1824,90
31,2049,90
32,2285,90
33,2530,90
34,2781,90
35,3036,90
36,3291,90
37,3543,90
38,3786,90
39,4019,90
40,4234,90
10,44,97
11,56,97
12,73,97
13,91,97
14,116,97
15,146,97
16,183,97
17,226,97
18,279,97
19,341,97
20,414,97
21,499,97
22,598,97
23,710,97
24,838,97
25,981,97
26,1141,97
27,1319,97
28,1513,97
29,1754,97
30,1949,97
31,2189,97
32,2441,97
33,2703,97
34,2971,97
35,3244,97
36,3516,97
37,3785,97
38,4045,97
39,4294,97
40,4524,97
