idade_gestacional,valor,percentil
12,0.21,2.5
13,0.37,2.5
14,0.51,2.5
15,0.65,2.5
16,0.79,2.5
17,0.92,2.5
18,1.04,2.5
19,1.15,2.5
20,1.26,2.5
21,1.36,2.5
22,1.45,2.5
23,1.54,2.5
24,1.62,2.5
25,1.70,2.5
26,1.76,2.5
27,1.83,2.5
28,1.88,2.5
29,1.93,2.5
30,1.97,2.5
31,2.01,2.5
32,2.03,2.5
12,0.53,50
13,0.72 ,50
14,0.90 ,50
15,1.08 ,50
16,1.25 ,50
17,1.41 ,50
18,1.56 ,50
19,1.71 ,50
20,1.86 ,50
21,1.99 ,50
22,2.12 ,50
23,2.24 ,50
24,2.36 ,50
25,2.47 ,50
26,2.57 ,50
27,2.67 ,50
28,2.76 ,50
29,2.84 ,50
30,2.92 ,50
31,2.99 ,50
32,3.05 ,50
12,0.85,97.5
13,1.07,97.5
14,1.29,97.5
15,1.50,97.5
16,1.70,97.5
17,1.90,97.5
18,2.09,97.5
19,2.28,97.5
20,2.45,97.5
21,2.62,97.5
22,2.79,97.5
23,2.95,97.5
24,3.10,97.5
25,3.24,97.5
26,3.38,97.5
27,3.51,97.5
28,3.64,97.5
29,3.75,97.5
30,3.86,97.5
31,3.97,97.5
32,4.07,97.5
